Date,Close_honda,Close_nisan,Close_tesla,Close_ford
2017-11-14,32.5,19.0,20.58,12.02
2017-11-15,32.16,18.97,20.75,12.0
2017-11-16,32.6,18.9,20.83,12.04
2017-11-17,32.62,18.94,21.0,12.01
2017-11-20,32.9,19.06,20.58,12.13
2017-11-21,33.12,19.17,21.19,12.12
2017-11-22,33.16,19.1,20.84,12.07
2017-11-24,33.12,19.31,21.03,12.1
2017-11-27,32.97,19.36,21.12,12.11
2017-11-28,33.4,19.36,21.17,12.21
2017-11-29,33.2,19.31,20.5,12.56
2017-11-30,33.34,19.45,20.6,12.52
2017-12-01,33.38,19.27,20.44,12.58
2017-12-04,33.4,19.2,20.34,12.63
2017-12-05,33.2,19.23,20.25,12.43
2017-12-06,33.12,19.3,20.89,12.38
2017-12-07,33.34,19.12,20.75,12.53
2017-12-08,33.28,19.1,21.02,12.61
2017-12-11,33.34,19.22,21.92,12.58
2017-12-12,33.53,19.34,22.73,12.6
2017-12-13,33.72,19.5,22.61,12.63
2017-12-14,33.66,19.4,22.53,12.46
2017-12-15,33.7,19.53,22.89,12.58
2017-12-18,34.03,19.56,22.6,12.66
2017-12-19,34.28,19.56,22.08,12.69
2017-12-20,34.12,19.55,21.94,12.72
2017-12-21,34.2,19.62,22.11,12.63
2017-12-22,34.3,19.75,21.69,12.58
2017-12-26,34.4,19.86,21.16,12.6
2017-12-27,34.3,19.84,20.78,12.5
2017-12-28,34.25,19.94,21.03,12.58
2017-12-29,34.1,19.9,20.75,12.49
2018-01-02,34.47,20.05,21.38,12.66
2018-01-03,34.78,20.25,21.16,12.76
2018-01-04,35.47,20.23,20.97,12.98
2018-01-05,35.62,20.39,21.11,13.2
2018-01-08,35.8,20.44,22.42,13.15
2018-01-09,35.53,20.55,22.25,13.08
2018-01-10,36.28,20.6,22.31,13.03
2018-01-11,36.1,20.75,22.53,13.16
2018-01-12,35.94,20.75,22.42,13.23
2018-01-16,35.72,20.66,22.67,13.1
2018-01-17,36.34,20.81,23.14,12.18
2018-01-18,35.88,20.67,22.97,12.07
2018-01-19,36.25,20.92,23.33,12.0
2018-01-22,36.2,21.08,23.44,12.02
2018-01-23,36.47,21.3,23.52,11.96
2018-01-24,36.34,21.4,23.06,12.05
2018-01-25,35.9,21.44,22.52,11.57
2018-01-26,36.22,21.84,22.86,11.65
2018-01-29,36.03,21.9,23.3,11.12
2018-01-30,35.84,21.67,23.05,11.06
2018-01-31,35.28,21.5,23.62,10.97
2018-02-01,35.16,21.5,23.28,10.92
2018-02-02,36.16,21.17,22.92,10.71
2018-02-05,34.84,20.7,22.2,10.24
2018-02-06,36.16,21.38,22.27,10.76
2018-02-07,35.66,21.38,23.0,10.76
2018-02-08,34.4,20.45,21.02,10.43
2018-02-09,34.62,20.64,20.69,10.53
2018-02-12,35.28,20.95,21.05,10.7
2018-02-13,34.6,20.77,21.58,10.59
2018-02-14,35.06,21.06,21.48,10.74
2018-02-15,35.53,21.05,22.27,10.76
2018-02-16,35.62,21.2,22.36,10.61
2018-02-20,35.6,20.84,22.31,10.63
2018-02-21,35.44,20.81,22.22,10.6
2018-02-22,35.56,20.66,23.08,10.63
2018-02-23,36.2,21.06,23.47,10.7
2018-02-26,36.72,21.31,23.83,10.89
2018-02-27,36.6,20.98,23.4,10.61
2018-02-28,36.1,20.95,22.88,10.61
2018-03-01,35.12,20.6,22.06,10.29
2018-03-02,34.84,20.88,22.34,10.4
2018-03-05,34.78,21.2,22.22,10.58
